mode,g,a,c,score,status,reaction_is_real
REAL,0.75,0.2222222222222222,1.0,0.588888888888889,ABSTAIN,1
identity,0.0,0.0,1.0,0.2,DENY,0
swap,0.75,0.2222222222222222,1.0,0.588888888888889,ABSTAIN,0
shuffle,0.75,0.2222222222222222,1.0,0.588888888888889,ABSTAIN,0
strip_context,0.75,0.2222222222222222,0.0,0.38888888888888895,DENY,0
REAL,0.75,0.0,1.0,0.5,DENY,1
identity,0.0,0.0,1.0,0.2,DENY,0
swap,0.75,0.0,1.0,0.5,DENY,0
shuffle,0.75,0.0,1.0,0.5,DENY,0
strip_context,0.75,0.0,0.0,0.30000000000000004,DENY,0
REAL,1.0,0.2222222222222222,1.0,0.6888888888888889,ALLOW,1
identity,0.0,0.0,1.0,0.2,DENY,0
swap,1.0,0.2222222222222222,1.0,0.6888888888888889,ALLOW,0
shuffle,1.0,0.2222222222222222,1.0,0.6888888888888889,ALLOW,0
strip_context,1.0,0.2222222222222222,0.0,0.48888888888888893,DENY,0
REAL,0.5,0.2222222222222222,1.0,0.48888888888888893,DENY,1
identity,0.0,0.0,1.0,0.2,DENY,0
swap,0.5,0.2222222222222222,1.0,0.48888888888888893,DENY,0
shuffle,0.5,0.2222222222222222,1.0,0.48888888888888893,DENY,0
strip_context,0.5,0.2222222222222222,0.0,0.2888888888888889,DENY,0
REAL,0.75,0.2222222222222222,1.0,0.588888888888889,ABSTAIN,1
identity,0.0,0.0,1.0,0.2,DENY,0
swap,0.75,0.2222222222222222,1.0,0.588888888888889,ABSTAIN,0
shuffle,0.75,0.2222222222222222,1.0,0.588888888888889,ABSTAIN,0
strip_context,0.75,0.2222222222222222,0.0,0.38888888888888895,DENY,0
REAL,0.75,0.2222222222222222,1.0,0.588888888888889,ABSTAIN,1
identity,0.0,0.0,1.0,0.2,DENY,0
swap,0.75,0.2222222222222222,1.0,0.588888888888889,ABSTAIN,0
shuffle,0.75,0.2222222222222222,1.0,0.588888888888889,ABSTAIN,0
strip_context,0.75,0.2222222222222222,0.0,0.38888888888888895,DENY,0
REAL,1.0,0.2222222222222222,1.0,0.6888888888888889,ALLOW,1
identity,0.0,0.0,1.0,0.2,DENY,0
swap,1.0,0.2222222222222222,1.0,0.6888888888888889,ALLOW,0
shuffle,1.0,0.2222222222222222,1.0,0.6888888888888889,ALLOW,0
strip_context,1.0,0.2222222222222222,0.0,0.48888888888888893,DENY,0
REAL,0.75,0.0,1.0,0.5,DENY,1
identity,0.0,0.0,1.0,0.2,DENY,0
swap,0.75,0.0,1.0,0.5,DENY,0
shuffle,0.75,0.0,1.0,0.5,DENY,0
strip_context,0.75,0.0,0.0,0.30000000000000004,DENY,0
REAL,0.75,0.0,1.0,0.5,DENY,1
identity,0.0,0.0,1.0,0.2,DENY,0
swap,0.75,0.0,1.0,0.5,DENY,0
shuffle,0.75,0.0,1.0,0.5,DENY,0
strip_context,0.75,0.0,0.0,0.30000000000000004,DENY,0
REAL,1.0,0.0,1.0,0.6000000000000001,ABSTAIN,1
identity,0.0,0.0,1.0,0.2,DENY,0
swap,1.0,0.0,1.0,0.6000000000000001,ABSTAIN,0
shuffle,1.0,0.0,1.0,0.6000000000000001,ABSTAIN,0
strip_context,1.0,0.0,0.0,0.4,DENY,0
REAL,0.75,0.0,1.0,0.5,DENY,1
identity,0.0,0.0,1.0,0.2,DENY,0
swap,0.75,0.0,1.0,0.5,DENY,0
shuffle,0.75,0.0,1.0,0.5,DENY,0
strip_context,0.75,0.0,0.0,0.30000000000000004,DENY,0
REAL,0.5,0.0,1.0,0.4,DENY,1
identity,0.0,0.0,1.0,0.2,DENY,0
swap,0.5,0.0,1.0,0.4,DENY,0
shuffle,0.5,0.0,1.0,0.4,DENY,0
strip_context,0.5,0.0,0.0,0.2,DENY,0
REAL,1.0,0.0,1.0,0.6000000000000001,ABSTAIN,1
identity,0.0,0.0,1.0,0.2,DENY,0
swap,1.0,0.0,1.0,0.6000000000000001,ABSTAIN,0
shuffle,1.0,0.0,1.0,0.6000000000000001,ABSTAIN,0
strip_context,1.0,0.0,0.0,0.4,DENY,0
REAL,0.75,0.2222222222222222,1.0,0.588888888888889,ABSTAIN,1
identity,0.0,0.0,1.0,0.2,DENY,0
swap,0.75,0.2222222222222222,1.0,0.588888888888889,ABSTAIN,0
shuffle,0.75,0.2222222222222222,1.0,0.588888888888889,ABSTAIN,0
strip_context,0.75,0.2222222222222222,0.0,0.38888888888888895,DENY,0
REAL,0.75,0.1111111111111111,0.0,0.3444444444444445,DENY,1
identity,0.0,0.0,0.0,0.0,DENY,0
swap,0.75,0.1111111111111111,0.0,0.3444444444444445,DENY,0
shuffle,0.75,0.1111111111111111,0.0,0.3444444444444445,DENY,0
strip_context,0.75,0.1111111111111111,0.0,0.3444444444444445,DENY,0
REAL,1.0,0.0,1.0,0.6000000000000001,ABSTAIN,1
identity,0.0,0.0,1.0,0.2,DENY,0
swap,1.0,0.0,1.0,0.6000000000000001,ABSTAIN,0
shuffle,1.0,0.0,1.0,0.6000000000000001,ABSTAIN,0
strip_context,1.0,0.0,0.0,0.4,DENY,0
REAL,0.5,0.2222222222222222,1.0,0.48888888888888893,DENY,1
identity,0.0,0.0,1.0,0.2,DENY,0
swap,0.5,0.2222222222222222,1.0,0.48888888888888893,DENY,0
shuffle,0.5,0.2222222222222222,1.0,0.48888888888888893,DENY,0
strip_context,0.5,0.2222222222222222,0.0,0.2888888888888889,DENY,0
REAL,0.75,0.0,1.0,0.5,DENY,1
identity,0.0,0.0,1.0,0.2,DENY,0
swap,0.75,0.0,1.0,0.5,DENY,0
shuffle,0.75,0.0,1.0,0.5,DENY,0
strip_context,0.75,0.0,0.0,0.30000000000000004,DENY,0
REAL,0.75,0.2222222222222222,1.0,0.588888888888889,ABSTAIN,1
identity,0.0,0.0,1.0,0.2,DENY,0
swap,0.75,0.2222222222222222,1.0,0.588888888888889,ABSTAIN,0
shuffle,0.75,0.2222222222222222,1.0,0.588888888888889,ABSTAIN,0
strip_context,0.75,0.2222222222222222,0.0,0.38888888888888895,DENY,0
REAL,1.0,0.0,1.0,0.6000000000000001,ABSTAIN,1
identity,0.0,0.0,1.0,0.2,DENY,0
swap,1.0,0.0,1.0,0.6000000000000001,ABSTAIN,0
shuffle,1.0,0.0,1.0,0.6000000000000001,ABSTAIN,0
strip_context,1.0,0.0,0.0,0.4,DENY,0
REAL,1.0,0.2222222222222222,1.0,0.6888888888888889,ALLOW,1
identity,0.0,0.0,1.0,0.2,DENY,0
swap,1.0,0.2222222222222222,1.0,0.6888888888888889,ALLOW,0
shuffle,1.0,0.2222222222222222,1.0,0.6888888888888889,ALLOW,0
strip_context,1.0,0.2222222222222222,0.0,0.48888888888888893,DENY,0
REAL,0.5,0.0,1.0,0.4,DENY,1
identity,0.0,0.0,1.0,0.2,DENY,0
swap,0.5,0.0,1.0,0.4,DENY,0
shuffle,0.5,0.0,1.0,0.4,DENY,0
strip_context,0.5,0.0,0.0,0.2,DENY,0
REAL,1.0,0.2222222222222222,0.0,0.48888888888888893,DENY,1
identity,0.0,0.0,0.0,0.0,DENY,0
swap,1.0,0.2222222222222222,0.0,0.48888888888888893,DENY,0
shuffle,1.0,0.2222222222222222,0.0,0.48888888888888893,DENY,0
strip_context,1.0,0.2222222222222222,0.0,0.48888888888888893,DENY,0
REAL,1.0,0.0,1.0,0.6000000000000001,ABSTAIN,1
identity,0.0,0.0,1.0,0.2,DENY,0
swap,1.0,0.0,1.0,0.6000000000000001,ABSTAIN,0
shuffle,1.0,0.0,1.0,0.6000000000000001,ABSTAIN,0
strip_context,1.0,0.0,0.0,0.4,DENY,0
REAL,0.5,0.0,1.0,0.4,DENY,1
identity,0.0,0.0,1.0,0.2,DENY,0
swap,0.5,0.0,1.0,0.4,DENY,0
shuffle,0.5,0.0,1.0,0.4,DENY,0
strip_context,0.5,0.0,0.0,0.2,DENY,0
REAL,1.0,0.0,1.0,0.6000000000000001,ABSTAIN,1
identity,0.0,0.0,1.0,0.2,DENY,0
swap,1.0,0.0,1.0,0.6000000000000001,ABSTAIN,0
shuffle,1.0,0.0,1.0,0.6000000000000001,ABSTAIN,0
strip_context,1.0,0.0,0.0,0.4,DENY,0
REAL,0.75,0.0,1.0,0.5,DENY,1
identity,0.0,0.0,1.0,0.2,DENY,0
swap,0.75,0.0,1.0,0.5,DENY,0
shuffle,0.75,0.0,1.0,0.5,DENY,0
strip_context,0.75,0.0,0.0,0.30000000000000004,DENY,0
REAL,0.5,0.2222222222222222,0.0,0.2888888888888889,DENY,1
identity,0.0,0.0,0.0,0.0,DENY,0
swap,0.5,0.2222222222222222,0.0,0.2888888888888889,DENY,0
shuffle,0.5,0.2222222222222222,0.0,0.2888888888888889,DENY,0
strip_context,0.5,0.2222222222222222,0.0,0.2888888888888889,DENY,0
REAL,0.5,0.2222222222222222,0.0,0.2888888888888889,DENY,1
identity,0.0,0.0,0.0,0.0,DENY,0
swap,0.5,0.2222222222222222,0.0,0.2888888888888889,DENY,0
shuffle,0.5,0.2222222222222222,0.0,0.2888888888888889,DENY,0
strip_context,0.5,0.2222222222222222,0.0,0.2888888888888889,DENY,0
REAL,0.5,0.2222222222222222,0.0,0.2888888888888889,DENY,1
identity,0.0,0.0,0.0,0.0,DENY,0
swap,0.5,0.2222222222222222,0.0,0.2888888888888889,DENY,0
shuffle,0.5,0.2222222222222222,0.0,0.2888888888888889,DENY,0
strip_context,0.5,0.2222222222222222,0.0,0.2888888888888889,DENY,0
REAL,0.5,0.2222222222222222,1.0,0.48888888888888893,DENY,1
identity,0.0,0.0,1.0,0.2,DENY,0
swap,0.5,0.2222222222222222,1.0,0.48888888888888893,DENY,0
shuffle,0.5,0.2222222222222222,1.0,0.48888888888888893,DENY,0
strip_context,0.5,0.2222222222222222,0.0,0.2888888888888889,DENY,0
REAL,0.75,0.2222222222222222,1.0,0.588888888888889,ABSTAIN,1
identity,0.0,0.0,1.0,0.2,DENY,0
swap,0.75,0.2222222222222222,1.0,0.588888888888889,ABSTAIN,0
shuffle,0.75,0.2222222222222222,1.0,0.588888888888889,ABSTAIN,0
strip_context,0.75,0.2222222222222222,0.0,0.38888888888888895,DENY,0
REAL,0.75,0.0,0.0,0.30000000000000004,DENY,1
identity,0.0,0.0,0.0,0.0,DENY,0
swap,0.75,0.0,0.0,0.30000000000000004,DENY,0
shuffle,0.75,0.0,0.0,0.30000000000000004,DENY,0
strip_context,0.75,0.0,0.0,0.30000000000000004,DENY,0
REAL,0.5,0.2222222222222222,0.0,0.2888888888888889,DENY,1
identity,0.0,0.0,0.0,0.0,DENY,0
swap,0.5,0.2222222222222222,0.0,0.2888888888888889,DENY,0
shuffle,0.5,0.2222222222222222,0.0,0.2888888888888889,DENY,0
strip_context,0.5,0.2222222222222222,0.0,0.2888888888888889,DENY,0
REAL,0.75,0.0,0.0,0.30000000000000004,DENY,1
identity,0.0,0.0,0.0,0.0,DENY,0
swap,0.75,0.0,0.0,0.30000000000000004,DENY,0
shuffle,0.75,0.0,0.0,0.30000000000000004,DENY,0
strip_context,0.75,0.0,0.0,0.30000000000000004,DENY,0
REAL,0.75,0.0,0.0,0.30000000000000004,DENY,1
identity,0.0,0.0,0.0,0.0,DENY,0
swap,0.75,0.0,0.0,0.30000000000000004,DENY,0
shuffle,0.75,0.0,0.0,0.30000000000000004,DENY,0
strip_context,0.75,0.0,0.0,0.30000000000000004,DENY,0
REAL,1.0,0.2222222222222222,1.0,0.6888888888888889,ALLOW,1
identity,0.0,0.0,1.0,0.2,DENY,0
swap,1.0,0.2222222222222222,1.0,0.6888888888888889,ALLOW,0
shuffle,1.0,0.2222222222222222,1.0,0.6888888888888889,ALLOW,0
strip_context,1.0,0.2222222222222222,0.0,0.48888888888888893,DENY,0
REAL,0.75,0.0,1.0,0.5,DENY,1
identity,0.0,0.0,1.0,0.2,DENY,0
swap,0.75,0.0,1.0,0.5,DENY,0
shuffle,0.75,0.0,1.0,0.5,DENY,0
strip_context,0.75,0.0,0.0,0.30000000000000004,DENY,0
REAL,1.0,0.2222222222222222,1.0,0.6888888888888889,ALLOW,1
identity,0.0,0.0,1.0,0.2,DENY,0
swap,1.0,0.2222222222222222,1.0,0.6888888888888889,ALLOW,0
shuffle,1.0,0.2222222222222222,1.0,0.6888888888888889,ALLOW,0
strip_context,1.0,0.2222222222222222,0.0,0.48888888888888893,DENY,0
REAL,1.0,0.2222222222222222,1.0,0.6888888888888889,ALLOW,1
identity,0.0,0.0,1.0,0.2,DENY,0
swap,1.0,0.2222222222222222,1.0,0.6888888888888889,ALLOW,0
shuffle,1.0,0.2222222222222222,1.0,0.6888888888888889,ALLOW,0
strip_context,1.0,0.2222222222222222,0.0,0.48888888888888893,DENY,0
REAL,1.0,0.0,0.0,0.4,DENY,1
identity,0.0,0.0,0.0,0.0,DENY,0
swap,1.0,0.0,0.0,0.4,DENY,0
shuffle,1.0,0.0,0.0,0.4,DENY,0
strip_context,1.0,0.0,0.0,0.4,DENY,0
REAL,1.0,0.2222222222222222,1.0,0.6888888888888889,ALLOW,1
identity,0.0,0.0,1.0,0.2,DENY,0
swap,1.0,0.2222222222222222,1.0,0.6888888888888889,ALLOW,0
shuffle,1.0,0.2222222222222222,1.0,0.6888888888888889,ALLOW,0
strip_context,1.0,0.2222222222222222,0.0,0.48888888888888893,DENY,0
REAL,1.0,0.0,1.0,0.6000000000000001,ABSTAIN,1
identity,0.0,0.0,1.0,0.2,DENY,0
swap,1.0,0.0,1.0,0.6000000000000001,ABSTAIN,0
shuffle,1.0,0.0,1.0,0.6000000000000001,ABSTAIN,0
strip_context,1.0,0.0,0.0,0.4,DENY,0
REAL,0.75,0.2222222222222222,1.0,0.588888888888889,ABSTAIN,1
identity,0.0,0.0,1.0,0.2,DENY,0
swap,0.75,0.2222222222222222,1.0,0.588888888888889,ABSTAIN,0
shuffle,0.75,0.2222222222222222,1.0,0.588888888888889,ABSTAIN,0
strip_context,0.75,0.2222222222222222,0.0,0.38888888888888895,DENY,0
REAL,1.0,0.0,1.0,0.6000000000000001,ABSTAIN,1
identity,0.0,0.0,1.0,0.2,DENY,0
swap,1.0,0.0,1.0,0.6000000000000001,ABSTAIN,0
shuffle,1.0,0.0,1.0,0.6000000000000001,ABSTAIN,0
strip_context,1.0,0.0,0.0,0.4,DENY,0
REAL,0.75,0.0,0.0,0.30000000000000004,DENY,1
identity,0.0,0.0,0.0,0.0,DENY,0
swap,0.75,0.0,0.0,0.30000000000000004,DENY,0
shuffle,0.75,0.0,0.0,0.30000000000000004,DENY,0
strip_context,0.75,0.0,0.0,0.30000000000000004,DENY,0
REAL,1.0,0.2222222222222222,1.0,0.6888888888888889,ALLOW,1
identity,0.0,0.0,1.0,0.2,DENY,0
swap,1.0,0.2222222222222222,1.0,0.6888888888888889,ALLOW,0
shuffle,1.0,0.2222222222222222,1.0,0.6888888888888889,ALLOW,0
strip_context,1.0,0.2222222222222222,0.0,0.48888888888888893,DENY,0
REAL,0.75,0.0,1.0,0.5,DENY,1
identity,0.0,0.0,1.0,0.2,DENY,0
swap,0.75,0.0,1.0,0.5,DENY,0
shuffle,0.75,0.0,1.0,0.5,DENY,0
strip_context,0.75,0.0,0.0,0.30000000000000004,DENY,0
REAL,1.0,0.0,0.0,0.4,DENY,1
identity,0.0,0.0,0.0,0.0,DENY,0
swap,1.0,0.0,0.0,0.4,DENY,0
shuffle,1.0,0.0,0.0,0.4,DENY,0
strip_context,1.0,0.0,0.0,0.4,DENY,0
REAL,1.0,0.0,0.0,0.4,DENY,1
identity,0.0,0.0,0.0,0.0,DENY,0
swap,1.0,0.0,0.0,0.4,DENY,0
shuffle,1.0,0.0,0.0,0.4,DENY,0
strip_context,1.0,0.0,0.0,0.4,DENY,0
REAL,0.75,0.0,1.0,0.5,DENY,1
identity,0.0,0.0,1.0,0.2,DENY,0
swap,0.75,0.0,1.0,0.5,DENY,0
shuffle,0.75,0.0,1.0,0.5,DENY,0
strip_context,0.75,0.0,0.0,0.30000000000000004,DENY,0
REAL,0.5,0.2222222222222222,1.0,0.48888888888888893,DENY,1
identity,0.0,0.0,1.0,0.2,DENY,0
swap,0.5,0.2222222222222222,1.0,0.48888888888888893,DENY,0
shuffle,0.5,0.2222222222222222,1.0,0.48888888888888893,DENY,0
strip_context,0.5,0.2222222222222222,0.0,0.2888888888888889,DENY,0
REAL,0.75,0.0,0.0,0.30000000000000004,DENY,1
identity,0.0,0.0,0.0,0.0,DENY,0
swap,0.75,0.0,0.0,0.30000000000000004,DENY,0
shuffle,0.75,0.0,0.0,0.30000000000000004,DENY,0
strip_context,0.75,0.0,0.0,0.30000000000000004,DENY,0
REAL,0.75,0.2222222222222222,1.0,0.588888888888889,ABSTAIN,1
identity,0.0,0.0,1.0,0.2,DENY,0
swap,0.75,0.2222222222222222,1.0,0.588888888888889,ABSTAIN,0
shuffle,0.75,0.2222222222222222,1.0,0.588888888888889,ABSTAIN,0
strip_context,0.75,0.2222222222222222,0.0,0.38888888888888895,DENY,0
REAL,1.0,0.2222222222222222,0.0,0.48888888888888893,DENY,1
identity,0.0,0.0,0.0,0.0,DENY,0
swap,1.0,0.2222222222222222,0.0,0.48888888888888893,DENY,0
shuffle,1.0,0.2222222222222222,0.0,0.48888888888888893,DENY,0
strip_context,1.0,0.2222222222222222,0.0,0.48888888888888893,DENY,0
REAL,0.75,0.2222222222222222,1.0,0.588888888888889,ABSTAIN,1
identity,0.0,0.0,1.0,0.2,DENY,0
swap,0.75,0.2222222222222222,1.0,0.588888888888889,ABSTAIN,0
shuffle,0.75,0.2222222222222222,1.0,0.588888888888889,ABSTAIN,0
strip_context,0.75,0.2222222222222222,0.0,0.38888888888888895,DENY,0
REAL,1.0,0.2222222222222222,1.0,0.6888888888888889,ALLOW,1
identity,0.0,0.0,1.0,0.2,DENY,0
swap,1.0,0.2222222222222222,1.0,0.6888888888888889,ALLOW,0
shuffle,1.0,0.2222222222222222,1.0,0.6888888888888889,ALLOW,0
strip_context,1.0,0.2222222222222222,0.0,0.48888888888888893,DENY,0
REAL,1.0,0.2222222222222222,1.0,0.6888888888888889,ALLOW,1
identity,0.0,0.0,1.0,0.2,DENY,0
swap,1.0,0.2222222222222222,1.0,0.6888888888888889,ALLOW,0
shuffle,1.0,0.2222222222222222,1.0,0.6888888888888889,ALLOW,0
strip_context,1.0,0.2222222222222222,0.0,0.48888888888888893,DENY,0
REAL,0.75,0.2222222222222222,1.0,0.588888888888889,ABSTAIN,1
identity,0.0,0.0,1.0,0.2,DENY,0
swap,0.75,0.2222222222222222,1.0,0.588888888888889,ABSTAIN,0
shuffle,0.75,0.2222222222222222,1.0,0.588888888888889,ABSTAIN,0
strip_context,0.75,0.2222222222222222,0.0,0.38888888888888895,DENY,0
REAL,0.5,0.0,1.0,0.4,DENY,1
identity,0.0,0.0,1.0,0.2,DENY,0
swap,0.5,0.0,1.0,0.4,DENY,0
shuffle,0.5,0.0,1.0,0.4,DENY,0
strip_context,0.5,0.0,0.0,0.2,DENY,0
REAL,1.0,0.0,0.0,0.4,DENY,1
identity,0.0,0.0,0.0,0.0,DENY,0
swap,1.0,0.0,0.0,0.4,DENY,0
shuffle,1.0,0.0,0.0,0.4,DENY,0
strip_context,1.0,0.0,0.0,0.4,DENY,0
REAL,0.75,0.2222222222222222,1.0,0.588888888888889,ABSTAIN,1
identity,0.0,0.0,1.0,0.2,DENY,0
swap,0.75,0.2222222222222222,1.0,0.588888888888889,ABSTAIN,0
shuffle,0.75,0.2222222222222222,1.0,0.588888888888889,ABSTAIN,0
strip_context,0.75,0.2222222222222222,0.0,0.38888888888888895,DENY,0
REAL,0.75,0.0,0.0,0.30000000000000004,DENY,1
identity,0.0,0.0,0.0,0.0,DENY,0
swap,0.75,0.0,0.0,0.30000000000000004,DENY,0
shuffle,0.75,0.0,0.0,0.30000000000000004,DENY,0
strip_context,0.75,0.0,0.0,0.30000000000000004,DENY,0
REAL,0.5,0.4444444444444444,1.0,0.5777777777777777,ABSTAIN,1
identity,0.0,0.0,1.0,0.2,DENY,0
swap,0.5,0.4444444444444444,1.0,0.5777777777777777,ABSTAIN,0
shuffle,0.5,0.4444444444444444,1.0,0.5777777777777777,ABSTAIN,0
strip_context,0.5,0.4444444444444444,0.0,0.37777777777777777,DENY,0
REAL,1.0,0.2222222222222222,1.0,0.6888888888888889,ALLOW,1
identity,0.0,0.0,1.0,0.2,DENY,0
swap,1.0,0.2222222222222222,1.0,0.6888888888888889,ALLOW,0
shuffle,1.0,0.2222222222222222,1.0,0.6888888888888889,ALLOW,0
strip_context,1.0,0.2222222222222222,0.0,0.48888888888888893,DENY,0
REAL,0.5,0.0,1.0,0.4,DENY,1
identity,0.0,0.0,1.0,0.2,DENY,0
swap,0.5,0.0,1.0,0.4,DENY,0
shuffle,0.5,0.0,1.0,0.4,DENY,0
strip_context,0.5,0.0,0.0,0.2,DENY,0
REAL,0.75,0.2222222222222222,1.0,0.588888888888889,ABSTAIN,1
identity,0.0,0.0,1.0,0.2,DENY,0
swap,0.75,0.2222222222222222,1.0,0.588888888888889,ABSTAIN,0
shuffle,0.75,0.2222222222222222,1.0,0.588888888888889,ABSTAIN,0
strip_context,0.75,0.2222222222222222,0.0,0.38888888888888895,DENY,0
REAL,0.5,0.0,1.0,0.4,DENY,1
identity,0.0,0.0,1.0,0.2,DENY,0
swap,0.5,0.0,1.0,0.4,DENY,0
shuffle,0.5,0.0,1.0,0.4,DENY,0
strip_context,0.5,0.0,0.0,0.2,DENY,0
REAL,0.75,0.1111111111111111,0.0,0.3444444444444445,DENY,1
identity,0.0,0.0,0.0,0.0,DENY,0
swap,0.75,0.1111111111111111,0.0,0.3444444444444445,DENY,0
shuffle,0.75,0.1111111111111111,0.0,0.3444444444444445,DENY,0
strip_context,0.75,0.1111111111111111,0.0,0.3444444444444445,DENY,0
REAL,1.0,0.0,1.0,0.6000000000000001,ABSTAIN,1
identity,0.0,0.0,1.0,0.2,DENY,0
swap,1.0,0.0,1.0,0.6000000000000001,ABSTAIN,0
shuffle,1.0,0.0,1.0,0.6000000000000001,ABSTAIN,0
strip_context,1.0,0.0,0.0,0.4,DENY,0
REAL,0.75,0.0,0.0,0.30000000000000004,DENY,1
identity,0.0,0.0,0.0,0.0,DENY,0
swap,0.75,0.0,0.0,0.30000000000000004,DENY,0
shuffle,0.75,0.0,0.0,0.30000000000000004,DENY,0
strip_context,0.75,0.0,0.0,0.30000000000000004,DENY,0
REAL,1.0,0.0,1.0,0.6000000000000001,ABSTAIN,1
identity,0.0,0.0,1.0,0.2,DENY,0
swap,1.0,0.0,1.0,0.6000000000000001,ABSTAIN,0
shuffle,1.0,0.0,1.0,0.6000000000000001,ABSTAIN,0
strip_context,1.0,0.0,0.0,0.4,DENY,0
REAL,1.0,0.2222222222222222,1.0,0.6888888888888889,ALLOW,1
identity,0.0,0.0,1.0,0.2,DENY,0
swap,1.0,0.2222222222222222,1.0,0.6888888888888889,ALLOW,0
shuffle,1.0,0.2222222222222222,1.0,0.6888888888888889,ALLOW,0
strip_context,1.0,0.2222222222222222,0.0,0.48888888888888893,DENY,0
REAL,1.0,0.2222222222222222,1.0,0.6888888888888889,ALLOW,1
identity,0.0,0.0,1.0,0.2,DENY,0
swap,1.0,0.2222222222222222,1.0,0.6888888888888889,ALLOW,0
shuffle,1.0,0.2222222222222222,1.0,0.6888888888888889,ALLOW,0
strip_context,1.0,0.2222222222222222,0.0,0.48888888888888893,DENY,0
REAL,1.0,0.0,1.0,0.6000000000000001,ABSTAIN,1
identity,0.0,0.0,1.0,0.2,DENY,0
swap,1.0,0.0,1.0,0.6000000000000001,ABSTAIN,0
shuffle,1.0,0.0,1.0,0.6000000000000001,ABSTAIN,0
strip_context,1.0,0.0,0.0,0.4,DENY,0
REAL,0.75,0.0,1.0,0.5,DENY,1
identity,0.0,0.0,1.0,0.2,DENY,0
swap,0.75,0.0,1.0,0.5,DENY,0
shuffle,0.75,0.0,1.0,0.5,DENY,0
strip_context,0.75,0.0,0.0,0.30000000000000004,DENY,0
REAL,0.75,0.0,0.0,0.30000000000000004,DENY,1
identity,0.0,0.0,0.0,0.0,DENY,0
swap,0.75,0.0,0.0,0.30000000000000004,DENY,0
shuffle,0.75,0.0,0.0,0.30000000000000004,DENY,0
strip_context,0.75,0.0,0.0,0.30000000000000004,DENY,0
REAL,0.75,0.0,0.0,0.30000000000000004,DENY,1
identity,0.0,0.0,0.0,0.0,DENY,0
swap,0.75,0.0,0.0,0.30000000000000004,DENY,0
shuffle,0.75,0.0,0.0,0.30000000000000004,DENY,0
strip_context,0.75,0.0,0.0,0.30000000000000004,DENY,0
REAL,1.0,0.2222222222222222,1.0,0.6888888888888889,ALLOW,1
identity,0.0,0.0,1.0,0.2,DENY,0
swap,1.0,0.2222222222222222,1.0,0.6888888888888889,ALLOW,0
shuffle,1.0,0.2222222222222222,1.0,0.6888888888888889,ALLOW,0
strip_context,1.0,0.2222222222222222,0.0,0.48888888888888893,DENY,0
REAL,1.0,0.2222222222222222,1.0,0.6888888888888889,ALLOW,1
identity,0.0,0.0,1.0,0.2,DENY,0
swap,1.0,0.2222222222222222,1.0,0.6888888888888889,ALLOW,0
shuffle,1.0,0.2222222222222222,1.0,0.6888888888888889,ALLOW,0
strip_context,1.0,0.2222222222222222,0.0,0.48888888888888893,DENY,0
REAL,1.0,0.2222222222222222,1.0,0.6888888888888889,ALLOW,1
identity,0.0,0.0,1.0,0.2,DENY,0
swap,1.0,0.2222222222222222,1.0,0.6888888888888889,ALLOW,0
shuffle,1.0,0.2222222222222222,1.0,0.6888888888888889,ALLOW,0
strip_context,1.0,0.2222222222222222,0.0,0.48888888888888893,DENY,0
REAL,0.5,0.2222222222222222,1.0,0.48888888888888893,DENY,1
identity,0.0,0.0,1.0,0.2,DENY,0
swap,0.5,0.2222222222222222,1.0,0.48888888888888893,DENY,0
shuffle,0.5,0.2222222222222222,1.0,0.48888888888888893,DENY,0
strip_context,0.5,0.2222222222222222,0.0,0.2888888888888889,DENY,0
REAL,0.75,0.2222222222222222,1.0,0.588888888888889,ABSTAIN,1
identity,0.0,0.0,1.0,0.2,DENY,0
swap,0.75,0.2222222222222222,1.0,0.588888888888889,ABSTAIN,0
shuffle,0.75,0.2222222222222222,1.0,0.588888888888889,ABSTAIN,0
strip_context,0.75,0.2222222222222222,0.0,0.38888888888888895,DENY,0
REAL,0.5,0.1111111111111111,1.0,0.4444444444444445,DENY,1
identity,0.0,0.0,1.0,0.2,DENY,0
swap,0.5,0.1111111111111111,1.0,0.4444444444444445,DENY,0
shuffle,0.5,0.1111111111111111,1.0,0.4444444444444445,DENY,0
strip_context,0.5,0.1111111111111111,0.0,0.24444444444444446,DENY,0
REAL,0.75,0.3333333333333333,1.0,0.6333333333333333,ABSTAIN,1
identity,0.0,0.0,1.0,0.2,DENY,0
swap,0.75,0.3333333333333333,1.0,0.6333333333333333,ABSTAIN,0
shuffle,0.75,0.3333333333333333,1.0,0.6333333333333333,ABSTAIN,0
strip_context,0.75,0.3333333333333333,0.0,0.43333333333333335,DENY,0
REAL,0.75,0.0,0.0,0.30000000000000004,DENY,1
identity,0.0,0.0,0.0,0.0,DENY,0
swap,0.75,0.0,0.0,0.30000000000000004,DENY,0
shuffle,0.75,0.0,0.0,0.30000000000000004,DENY,0
strip_context,0.75,0.0,0.0,0.30000000000000004,DENY,0
REAL,1.0,0.2222222222222222,0.0,0.48888888888888893,DENY,1
identity,0.0,0.0,0.0,0.0,DENY,0
swap,1.0,0.2222222222222222,0.0,0.48888888888888893,DENY,0
shuffle,1.0,0.2222222222222222,0.0,0.48888888888888893,DENY,0
strip_context,1.0,0.2222222222222222,0.0,0.48888888888888893,DENY,0
REAL,1.0,0.0,1.0,0.6000000000000001,ABSTAIN,1
